"TABLE","TABLE_ROWS","COMBI_FIELDS_NAME","FIELD_NAME_1","FIELD_NAME_2","FIELD_VALUE_1","FIELD_VALUE_2","COMBI_ROW_COUNT","COMBI_RATIO_PERCENT"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","2561144","48","0.03%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","3075147","37","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","3079574","37","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","3050039","37","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","1032170","32","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","1027495","30","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","09-AUG-11","2778730","30","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","1030750","30","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","1027145","30","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , C_ID","C_FR_DATE","C_ID","01-JAN-00","1027058","30","0.02%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","7615","940","0.63%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","21935","743","0.50%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","41451","591","0.39%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","10824","580","0.39%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","7064","543","0.36%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","20424","531","0.35%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","10592","525","0.35%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","22683","492","0.33%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","19281","472","0.31%"
"RIGHTS.RIG_MATRIX_LCD","149,869","C_FR_DATE , RIG_TIR_ID_SEQ","C_FR_DATE","RIG_TIR_ID_SEQ","01-JAN-00","13853","469","0.31%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","3049701","999999999","9","0.01%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","3049565","999999999","9","0.01%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","1027644","999999999","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","1027120","999999999","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","1711635","999999999","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","1032248","999999999","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","257076","999999999","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","1027136","999999999","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","560014","999999999","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_QTY","M_ID","M_QTY","1027129","999999999","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","3049565","01-JAN-00","9","0.01%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","3049701","01-JAN-00","9","0.01%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","1027136","01-JAN-00","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","1869777","01-JAN-00","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","1869957","01-JAN-00","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","843197","01-JAN-00","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","1027509","01-JAN-00","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","1027072","01-JAN-00","4","0.00%"
"RIGHTS.RIG_MATRIX_LCD","149,869","M_ID , M_TO_DATE","M_ID","M_TO_DATE","1711635","01-JAN-00","4","0.00%"
